s	-1.893739517016341665983638444144885628475014674244183303912052567496352772207434142969100349982064891339763604988358607158803526238454879776685815552482381	-0.414946124659005446033255574330787247139745875274512949335553100798549590936647502400807356305211894780849588233615173087683677897364036058528092180692213
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
53	-7.48897120573708123184485822486269945777094640733038132907817828711015305498985783781894625026300361986477117078401934298833089e-27	4.83098129315095410786739572212084449080837354412805647920186306264969672759766042359038770217819355845966593288362122802506e-28
54	-1.4363593522239864722487770321813304202187732674298263078522922856449374670225536664185512619434683203867090455639348636634574e-27	1.82220176481986308663381527128536294242121963000200432988201363754347862437527879405807958412686084794964444600537224858195342e-27
55	1.1135504038576272601503275226208979041252684941137626511892938125087298210663492921882688298652568154442758703418068406756585e-28	7.0464532051024544773470269997417891986848631425608625501402418339585437382784244495646465043778546755335518339875733231573417e-28
56	1.8057293171776834257395018111228265002741537967730146119507427753071794250627287900539187446611139663054154949091154966694091e-28	1.1860585949725841089181225785977136164557814786187904994119482120391032817671638178060256448402961407704636331387366571001517e-28
57	6.371669952735230527472558825982282703277756487831963527781620781616543295641267144983390650022451545908750145749824100358648e-29	-1.751574441065647661405759650838580717173750118052552903945900367920521564264447089778513423385945330744400893587472020764767e-29
58	9.18181091478448667942354228067210571132605633550688677303507404852405532460617642582621607194330850122947745137219144568974e-30	-1.835627280349904583519844253283182483347306869174037360214716366456049626983104649609003928781346518701487376042466534462747e-29
59	-2.22703966418604521217297396884490380344488893618400013667936249418491417875717133098234568679495030993468006200288215232467e-30	-5.88401500349926021012923587903801159195939471480637741376408248365185588789614011255779194244783733862545649783076659261587e-30
60	-1.77704178436125656285274610116926202894312434659845870811852720808553082091964625711022366012262833115082835797449103308894e-30	-6.8303082297219606742109483888832342523044033808047256061354485558513099094020436454614698922403596884610575298805435820022e-31
61	-5.1806888099451796157658075962255040627176378779018762243731337262227654860858271052192765708880585959691447590503835361078e-31	2.7504156969934646365235794303208005416596764312194517384538461498766034386701030456958664156299457302066307326955268932129e-31
62	-4.455232888007878337381345674768443406393101857974992281329978551544195038492923163669333532472078463455226391491433221511e-32	1.770984827490652501377329533432707072714306981018727806259224158275588952526621829968713210075504927626698810917435963602e-31
63	3.063361662803004340506818410127120216860182935715363437025266568596298012088200371948587722039025648686099203534363633943e-32	4.649785874280892336940084076564903571565564975000708553583292873243928330405987133737047968076577760189796811068448335498e-32
64	1.672239061027298380799935780948139901878895440541866539227052825857629614174079386247381182497716140606730062866923901189e-32	2.27907929952006608228625485659930141309485695359213070209061447609916241769813506772243786454635231466835655566636020473e-33
65	3.9368652663495503789762062690048519820664815873993958159675384244187936804641322034400276366380123286782510166388655421e-33	-3.46502021341056118229329478118065108427516531052534708026119127008277798825087787766218535939268984911670177567972328787e-33
66	2.711147085457363376963528705393211284059484865162855433778752878265693466125303845619555983222133918584135165960077423e-35	-1.63044314499401245304291539601074728756038199587373752074605306069342979525736482272111239158082153421451220140124479515e-33
67	-3.6086288066366877500240990590427422122411743220887678836106617602663070798567411644537368358704476213965617938256842369e-34	-3.3730219956959391453740707481774919592222693006621320216890246084546458298701275221220432109099408138805413247710476557e-34
68	-1.4950797647357079547276924214549956273979174780706659222096372302655245715341235680981083232117564814178716088266492513e-34	1.686082013271300067490087964428032829143633596557775024727147251170587979778159937010284420420477477430607103782868578e-35
69	-2.666537841672336814469765339853152636163732337924360924989797407756905840935259795132662843021233240875742876811458786e-35	3.881480987021490693865085722618749723975710814269339549644293519556552846152466533362154225373839851021382630582573308e-35
70	3.36378709745191756156703345493783797056041057312799216730534520456876514474299066159898671304787807140871795480650989e-36	1.419289342263516391147420267978012767246864451357948636622144828279365322764923646257687755563176406908006930054008577e-35
71	3.95018002042232777648861891451502294303137482259769061311628733074318006044666685539309869612239633032932300445905169e-36	2.08177349195529989997502757514676507476076094662913732791991725182775005987829929229936597835752848402330977072596453e-36
72	1.33885455574675907989194216599384199205968195525198081128860563395763621098431753193690073164567149920021245215734778e-36	-5.1106171287326111964931193941517904020393384273676048157144419724249173424136429278968568375429249817925353576493273e-37
73	2.1601819431644793334333792914876905109040110169084642813369712197824688996034624546408897508424020729425086477794646e-37	-4.132943304955622725892948165405814923132998030647675887632160648134442267520686433490629441226470851714956225095071e-37
74	-4.39876439228504917412390533303335103218040113166477844060217834938441373844872079893621096743372590339637445663966e-39	-1.2469822015222142977975149574363577985026437202241956860000183190944090275976866791780475105725989761019482879528516e-37
75	-6.35586157114261990358958182046755317750044799716274714296654442144940713236413895044600348763703856360143965691859e-39	-1.707936419440433072726346756974840312061318848985007350155384886532589298736670349587726507668856643762312685865057e-38
