s	-0.58801233459500310947949600201737942196639978059092993013238364113041542636467947319277097931297444597319650276133979376995835121301788549956921365380597520	1.40296064781598375056510712652031271921980638763463817629966138455112259330518937584554890002032444911846359493420151979202226430537330169611322933242695563
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
41	-2.4006463749742491425675343424684219849939251996169031793290929055709269050061662224825632667317345502915783833166217567205861343564287587e-20	2.2957522732083749330257908067278526899077668109516990974698996036015112106487976994148255839008899499723537147942720601871816742775756102e-20
42	1.0747775711900970016838548046916402845638115688288025111842904697868153028157858166755147043533327872918783926182726886229235033355994217e-20	-3.7986718288500266140415976172946903549171949857599977962083158562126584109693383994607069484264903823060080744750050640420770984840268028e-20
43	-2.016274648869297111558466722470317438259396862821295060322973218252630894046277823568309806373633570312426786986500156065813360829974873e-20	-8.593360482665103160483271619410326950356118257181421392380467271459733928241298492629001370825390586415099208463068621995179881423816043e-21
44	-1.2049620928479016421088007574005443437084233225644110582991975576112584071555832281184660192301126494253653145071521086760957341863363487e-20	-6.39313526936680407374290960472664441924413724835541353906215650345705395883478590429101028682803619141250486203533397669450343575992081e-22
45	4.312447275113861637422289838077079850340006119278955660970841033820995434882975857036129863094915981304934106218572333578921058366648468e-21	-2.98417413754954334664846418078821011168827946635958220323216661195851684854945963858102846768709782415143201202172005301372570777243422e-21
46	4.1830991852266583164019665982213487772530978572570060253183736603048949401399448318694551386184837312107310518366943591914014736015165e-23	1.629187223909153497595470981767989784162963657141356827427276217776966699496819628904688297144890567122107857857623932290872372499795048e-21
47	-2.1240638765895571135200028017190947452140208168842265150196406029770129387104072460542776753259054095380001717942639073005349881893616e-22	1.057966914664106970895428077615365739739184557627423030600870860027285612326068205917124603178885202751903736301300701069740560739090016e-21
48	1.049247396896098114702404171102075502527080601508326822913998348793287194267514101048498770302711336838026540959508903563334475014287503e-21	-3.39717690999589747336328068341990343772669307881029027731131860565131640128233941967649818086017728380586236987286527024256849364968144e-22
49	-1.95697376321893567284210226892535816174795777067749847430115140407364144397573301973654622592576142549014430740078214659468109860533841e-22	1.46256873436593298382660429656381260550276693868221329044308528203202698382125766865995556859490431919805827207091579804398184507081885e-22
50	-1.66279581868725920898892736279375640341617032828756681347406409740369884964596397755333856613647048409666555272169892073040719526956523e-22	2.0350404817667664368648796902001907648634657500674918237046342490451833669031315401194213336703377272622144717270892831948861721829428e-23
51	1.07583782590792559631685905221596487360352046143456609747450931409331087754914191411092453673286351832958969034092654092895693567240255e-22	-1.12666759132746193512949140261166432222023619336653470292789150317319373457480723421462558896143886060551951460196756816528534080197803e-22
